prob,like
0,0
0.001,1.2229460712265823e-50
0.002,2.4987832996874985e-44
0.003,1.2142974346838409e-40
0.004,4.974016587306839e-38
0.005,5.253815322249924e-36
0.006,2.3546527264010053e-34
0.007,5.840417767582835e-33
0.008,9.395022297314231e-32
0.009000000000000001,1.0857062231340667e-30
0.01,9.665396438088407e-30
0.011,6.967140716864678e-29
0.012,4.218823326200068e-28
0.013000000000000001,2.2067898621449492e-27
0.014,1.0190445015989964e-26
0.015,4.226326504747409e-26
0.016,1.5962349196071796e-25
0.017,5.552945676852369e-25
0.018000000000000002,1.796080930839989e-24
0.019,5.4440790689557204e-24
0.02,1.5567271123526146e-23
0.021,4.223376398335064e-23
0.022,1.0924237516215358e-22
0.023,2.705501788552161e-22
0.024,6.439259799878199e-22
0.025,1.4776269469935953e-21
0.026000000000000002,3.278519707114458e-21
0.027,7.05143499491063e-21
0.028,1.4734864910478304e-20
0.029,2.997523149598447e-20
0.03,5.947248046703927e-20
0.031,1.1527055552170932e-19
0.032,2.1858152269887663e-19
0.033,4.0605576043479127e-19
0.034,7.398899989098232e-19
0.035,1.3238649696851178e-18
0.036000000000000004,2.328412970660502e-18
0.037,4.029250634361679e-18
0.038,6.866129879217733e-18
0.039,1.1531065504810921e-17
0.04,1.9099257729764678e-17
0.041,3.122118551622875e-17
0.042,5.040144023563751e-17
0.043000000000000003,8.039935444980933e-17
0.044,1.2679905524165234e-16
0.045,1.9781310627983197e-16
0.046,3.0540547609151897e-16
0.047,4.668475086944804e-16
0.048,7.0685649874375e-16
0.049,1.0605123571011485e-15
0.05,1.5772060738509678e-15
0.051000000000000004,2.325947101709797e-15
0.052000000000000005,3.4024488060120495e-15
0.053,4.938525811948867e-15
0.054,7.114479217100973e-15
0.055,1.0175320863389345e-14
0.056,1.445190277498065e-14
0.057,2.038828015578478e-14
0.058,2.8576954921968627e-14
0.059000000000000004,3.980403192619467e-14
0.06,5.5106783666602646e-14
0.061,7.584667494977644e-14
0.062,1.0380156219912717e-13
0.063,1.4128157050026755e-13
0.064,1.9127408502871665e-13
0.065,2.5762439476263853e-13
0.066,3.452598207114141e-13
0.067,4.604666767288593e-13
0.068,6.112311801053152e-13
0.069,8.07657486937382e-13
0.07,1.062478413051416e-12
0.07100000000000001,1.391677158492738e-12
0.07200000000000001,1.8152415302733381e-12
0.073,2.3580758069779018e-12
0.074,3.0510995678648507e-12
0.075,3.932567581579666e-12
0.076,5.049650284585995e-12
0.077,6.460320552006606e-12
0.078,8.235599455198454e-12
0.079,1.0462221599146621e-11
0.08,1.3245789533653776e-11
0.081,1.6714496737523107e-11
0.082,2.102350989412873e-11
0.083,2.6360113727246658e-11
0.084,3.294973567299799e-11
0.085,4.1062983260464106e-11
0.08600000000000001,5.1023844401499715e-11
0.08700000000000001,6.321921999920419e-11
0.088,7.810997953270712e-11
0.089,9.624375372991011e-11
0.09,1.1826970427467825e-10
0.091,1.4495553889408803e-10
0.092,1.772070713262378e-10
0.093,2.1609065977955153e-10
0.094,2.6285889476782906e-10
0.095,3.189799478564678e-10
0.096,3.8617103710654243e-10
0.097,4.664365130830198e-10
0.098,5.621111214371347e-10
0.099,6.759090545200765e-10
